0,11.062865
1,11.673917
2,12.144843
3,12.462206
4,12.941871
5,13.584097
6,14.120232
7,14.29723
8,14.352327
9,14.532875
10,14.836587
11,14.650614
12,14.895939
13,14.922583
14,15.050516
15,15.209137
16,15.404778
17,15.735432
18,16.174394
19,16.355425
20,16.825673
21,16.864176
22,17.10394
23,17.441138
24,17.598223
25,17.579316
26,17.525786
27,17.567949
28,17.743417
29,17.663441
30,17.747875
31,17.837736
32,18.062755
33,18.210376
34,18.378163
35,18.335042
36,18.399095
37,18.642404
38,19.014455
39,18.815901
40,19.182675
41,19.496019
42,19.679517
43,19.749727
44,19.700467
45,20.008258
46,20.399864
47,20.738582
48,20.961689
49,20.981195
50,20.686507
51,20.648517
52,20.744766
53,20.446846
54,20.501723
